show_id,type,title,cast,release_year,duration,listed_in,platform
n577,movie,mary magdalene,"rooney mara, joaquin phoenix, chiwetel ejiofor, tahar rahim, ariane labed, denis ménochet, lubna azabal, tchéky karyo, charles babalola, tawfeek barhom, ryan corr, uri gavriel, shira haas, tsahi halevi, michael moshonov",2019,120,"drama, faith & spirituality, international",netflix
n578,tv show,masameer county,"malik nejer, abdulaziz alshehri, mazroa almazroa, lama alfard, yousef aldakheel, ibraheem hajjaj, nawaf alshubaili, sohayb godus, shahad alahmari",2021,1,"international, comedy",netflix
n579,movie,memoirs of a geisha,"zhang ziyi, ken watanabe, koji yakusho, michelle yeoh, kaori momoi, youki kudoh, gong li, cary-hiroyuki tagawa, mako iwamatsu, navia nguyen, karl yune",2005,145,"drama, romance",netflix
n580,movie,midnight run,"robert de niro, charles grodin, yaphet kotto, john ashton, dennis farina, joe pantoliano, richard foronjy, robert miranda, jack kehoe, wendy phillips, philip baker hall",1988,126,"action & adventure, classic, comedy",netflix
n581,movie,mobile suit gundam hathaway,"kensho ono, reina ueda, junichi suwabe",2021,96,"action & adventure, anime, international",netflix
n582,movie,mortal kombat,"christophe lambert, robin shou, linden ashby, cary-hiroyuki tagawa, bridgette wilson-sampras, talisa soto, trevor goddard, chris casamassa, françois petit, keith cooke",1995,101,"action & adventure, sci-fi & fantasy",netflix
n583,movie,mother's day,"jennifer aniston, kate hudson, julia roberts, jason sudeikis, britt robertson, timothy olyphant, margo martindale, shay mitchell, jack whitehall, hector elizondo, jon lovitz, larry miller, cameron esposito, aasif mandvi, jennifer garner, sarah chalke",2016,118,"comedy, drama",netflix
n584,movie,no strings attached,"natalie portman, ashton kutcher, kevin kline, cary elwes, greta gerwig, lake bell, olivia thirlby, ludacris, jake johnson, mindy kaling, talia balsam",2011,109,"comedy, romance",netflix
n585,movie,not another teen movie,"chyler leigh, chris evans, jaime pressly, eric christian olsen, mia kirshner, deon richmond, eric jungmann, ron lester, cody mcmains, sam huntington, lacey chabert, joanna garcia swisher, samm levine, cerina vincent",2001,89,comedy,netflix
n586,movie,ophelia,"daisy ridley, naomi watts, clive owen, george mackay, tom felton, devon terrell, dominic mafham, daisy head",2018,106,"drama, romance",netflix
